Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram,SMA_20,SMA_50,EMA_12,ATR,Stochastic,Stochastic_Signal,Returns,Range,Body,Upper_Shadow,Lower_Shadow
2021-01-11 00:00:00+00:00,38346.53125,38346.53125,30549.599609375,35566.65625,123320567399,65.11596465453331,4287.0747767778375,3862.73408474805,424.34069202978753,31402.9892578125,24377.58328125,35111.22768131879,2963.0398123961763,60.023144609877114,75.6554612290147,-0.07273315912449108,7796.931640625,-2779.875,0.0,5017.056640625
2021-01-12 00:00:00+00:00,35516.359375,36568.52734375,32697.9765625,33922.9609375,74773277909,59.20698761437781,3874.723172723283,3865.131902343097,9.59127038018596,31937.07001953125,24688.760078125,34928.41741303898,3027.862024457164,44.99231692509899,60.839692320805085,-0.046214502171538774,3870.55078125,-1593.3984375,1052.16796875,1224.984375
2021-01-13 00:00:00+00:00,33915.12109375,37599.9609375,32584.66796875,37316.359375,69364315979,66.05545035244774,3778.1977380910976,3847.7450694926974,-69.54733140159988,32616.09052734375,25052.93796875,35295.79309949452,3169.8213776209377,66.31164464831022,57.10903539442878,0.10003249550509552,5015.29296875,3401.23828125,283.6015625,1330.453125
2021-01-14 00:00:00+00:00,37325.109375,39966.40625,36868.5625,39187.328125,63615990033,69.13243966091733,3808.767081463702,3839.9494718868987,-31.182390423196466,33342.2173828125,25462.042109375,35894.49079572613,3164.6801185051563,79.13328929048328,63.47908362129749,0.050138030111625875,3097.84375,1862.21875,779.078125,456.546875
2021-01-15 00:00:00+00:00,39156.70703125,39577.7109375,34659.58984375,36825.3671875,67760757881,61.54742095949842,3600.8941323229956,3792.1384039741183,-191.24427165112274,33861.63388671875,25855.5369921875,36037.70254830673,3289.9259024512166,61.272096934443354,68.90567695774561,-0.06027358971670127,4918.12109375,-2331.33984375,421.00390625,2165.77734375
2021-01-16 00:00:00+00:00,36821.6484375,37864.3671875,35633.5546875,36178.140625,57706187875,59.61716717079267,3345.3642710894164,3702.7835773971783,-357.4193063077619,34356.926171875,26236.9317578125,36059.30840625954,3214.2749451332725,56.3777576813197,65.59438130208211,-0.017575563040677422,2230.8125,-643.5078125,1042.71875,544.5859375
2021-01-17 00:00:00+00:00,36163.6484375,36722.3515625,34069.3203125,35791.27734375,52359854336,58.437439956257556,3076.1781149680755,3577.462484911358,-501.2843699432824,34792.249609375,26598.4090234375,36018.07285818115,3174.18610976661,53.45229038328357,57.034048333015534,-0.010693288117263444,2653.03125,-372.37109375,558.703125,1721.95703125
2021-01-18 00:00:00+00:00,35792.23828125,37299.28515625,34883.84375,36630.07421875,49511702429,60.27304610880591,2897.133690770803,3441.396726083247,-544.2630353124441,35255.6314453125,26967.4608203125,36112.22691365328,3119.990059515424,54.65744712818328,54.82916506426218,0.023435790428599335,2415.44140625,837.8359375,669.2109375,908.39453125
2021-01-19 00:00:00+00:00,36642.234375,37755.890625,36069.8046875,36069.8046875,57244195486,58.41719637328789,2679.147085949342,3288.946798056466,-609.7997121071239,35617.0740234375,27296.3401953125,36105.700417322005,3017.5683365143223,48.43500844424528,52.181581985237365,-0.015295342507474663,1686.0859375,-572.4296875,1113.65625,0.0
2021-01-20 00:00:00+00:00,36050.11328125,36378.328125,33570.4765625,35547.75,66834573161,56.6663478673152,2436.1828810499137,3118.394014655156,-682.2111336052421,35944.37548828125,27631.235234375,36019.861891580156,3002.588566941871,43.85443166502009,48.98229574581621,-0.014473454791977813,2807.8515625,-502.36328125,328.21484375,1977.2734375
